"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2023","134.000","134.300","134.680","133.505","98.12K","-0.14%"
"01/12/2023","134.190","133.225","134.540","132.840","95.67K","0.83%"
"01/11/2023","133.090","132.805","133.470","132.670","87.84K","0.32%"
"01/10/2023","132.670","132.615","133.095","132.505","94.39K","0.10%"
"01/09/2023","132.540","131.420","133.065","131.410","87.44K","0.87%"
"01/06/2023","131.400","130.050","131.565","129.515","94.88K","1.14%"
"01/05/2023","129.920","130.850","131.340","129.960","81.30K","-0.59%"
"01/04/2023","130.690","130.270","131.340","130.175","90.22K","0.38%"
"01/03/2023","130.190","131.585","131.845","129.840","94.75K","-0.97%"
"01/02/2023","131.460","132.060","132.135","131.420","21.16K","-0.38%"
"12/30/2022","131.960","131.580","132.210","131.215","71.57K","0.39%"
"12/29/2022","131.450","130.770","131.930","130.760","59.78K","0.60%"
"12/28/2022","130.660","131.160","131.570","130.725","56.06K","-0.27%"
"12/27/2022","131.010","131.105","131.510","130.780","68.37K","0.03%"
"12/26/2022","130.970","130.780","131.110","130.695","17.50K","0.20%"
"12/23/2022","130.710","130.425","131.055","130.315","94.36K","0.32%"
"12/22/2022","130.290","130.625","131.295","130.145","97.34K","-0.14%"
"12/21/2022","130.470","130.900","131.115","130.395","86.79K","-0.21%"
"12/20/2022","130.740","130.560","131.325","130.225","130.52K","0.23%"
"12/19/2022","130.440","130.320","131.255","130.185","91.83K","0.25%"
"12/16/2022","130.110","130.700","131.260","130.240","97.02K","-0.37%"
"12/15/2022","130.590","131.240","132.055","130.280","96.33K","-0.40%"
"12/14/2022","131.120","130.680","131.400","130.395","93.49K","0.44%"
"12/13/2022","130.540","129.360","131.180","129.315","76.67K","0.99%"
"12/12/2022","129.260","129.340","129.925","129.065","72.91K","0.00%"
"12/09/2022","129.260","129.720","130.140","129.075","81.74K","-0.24%"
"12/08/2022","129.570","129.040","129.795","128.765","89.84K","0.52%"
"12/07/2022","128.900","128.460","129.560","128.025","102.23K","0.43%"
"12/06/2022","128.350","128.700","129.245","128.325","83.99K","-0.21%"
"12/05/2022","128.620","128.775","130.005","128.585","91.13K","-0.24%"
"12/02/2022","128.930","128.965","129.285","127.685","82.27K","0.07%"
"12/01/2022","128.840","127.435","129.100","127.355","108.36K","1.20%"
"11/30/2022","127.310","126.480","127.710","125.995","92.26K","0.76%"
"11/29/2022","126.350","126.615","127.295","126.360","75.22K","-0.09%"
"11/28/2022","126.470","127.025","128.545","126.305","78.51K","-0.48%"
"11/25/2022","127.080","127.250","127.650","126.530","70.23K","-0.04%"
"11/24/2022","127.130","127.170","127.785","127.020","68.55K","0.08%"
"11/23/2022","127.030","125.870","127.260","125.720","74.53K","1.03%"
"11/22/2022","125.740","125.170","125.920","125.095","79.21K","0.56%"
"11/21/2022","125.040","125.985","126.175","124.850","82.21K","-0.72%"
"11/18/2022","125.950","126.415","126.940","125.915","95.13K","-0.27%"
"11/17/2022","126.290","126.820","126.975","125.715","98.84K","-0.31%"
"11/16/2022","126.680","126.195","127.360","126.030","103.88K","0.44%"
"11/15/2022","126.130","125.865","127.875","125.410","104.65K","0.29%"
"11/14/2022","125.760","126.370","126.385","125.175","103.41K","-0.26%"
"11/11/2022","126.090","124.345","126.350","123.785","114.03K","1.50%"
"11/10/2022","124.230","121.950","124.510","120.985","128.82K","1.95%"
"11/09/2022","121.850","122.605","122.860","121.710","117.15K","-0.51%"
"11/08/2022","122.480","121.910","122.880","121.355","100.74K","0.57%"
"11/07/2022","121.780","120.415","122.075","120.270","94.53K","0.72%"
"11/04/2022","120.910","118.510","121.105","118.410","86.26K","2.09%"
"11/03/2022","118.430","119.250","119.520","118.265","76.05K","-0.59%"
"11/02/2022","119.130","119.835","121.165","119.175","77.37K","-0.49%"
"11/01/2022","119.720","119.915","120.900","119.560","71.04K","-0.09%"
"10/31/2022","119.830","120.755","120.995","119.800","75.27K","-0.84%"
"10/28/2022","120.850","120.870","121.285","120.400","76.72K","0.09%"
"10/27/2022","120.740","122.205","122.395","120.780","110.94K","-1.10%"
"10/26/2022","122.080","120.835","122.335","120.560","84.36K","1.13%"
"10/25/2022","120.710","119.675","120.980","119.410","74.03K","0.95%"
"10/24/2022","119.570","119.590","119.990","118.855","91.27K","0.14%"
"10/21/2022","119.400","118.595","119.620","117.615","92.90K","0.79%"
"10/20/2022","118.470","118.450","119.330","118.220","92.63K","0.12%"
"10/19/2022","118.330","119.380","119.610","118.230","88.96K","-0.80%"
"10/18/2022","119.290","119.090","119.655","118.870","99.02K","0.25%"
"10/17/2022","118.990","117.685","119.270","117.600","88.32K","1.27%"
"10/14/2022","117.500","118.280","118.690","117.465","108.65K","-0.58%"
"10/13/2022","118.180","117.300","118.655","116.540","95.31K","0.82%"
"10/12/2022","117.220","117.370","117.755","116.880","93.26K","0.01%"
"10/11/2022","117.210","117.250","118.185","116.885","127.24K","0.06%"
"10/10/2022","117.140","117.665","117.880","117.005","97.21K","-0.41%"
"10/07/2022","117.620","118.310","118.645","117.535","78.54K","-0.52%"
"10/06/2022","118.230","119.340","119.940","118.285","89.27K","-0.88%"
"10/05/2022","119.280","120.630","120.745","118.795","88.70K","-1.00%"
"10/04/2022","120.490","118.660","120.805","118.405","86.14K","1.65%"
"10/03/2022","118.530","118.335","118.885","117.775","97.69K","0.26%"
"09/30/2022","118.220","118.370","118.880","117.430","94.08K","-0.13%"
"09/29/2022","118.370","117.280","118.370","116.220","96.28K","0.92%"
"09/28/2022","117.290","115.680","117.490","114.980","104.47K","1.39%"
"09/27/2022","115.680","115.820","116.670","115.380","104.26K","-0.11%"
"09/26/2022","115.810","116.600","116.990","115.160","109.87K","-0.74%"
"09/23/2022","116.670","118.520","118.700","116.380","91.00K","-1.53%"
"09/22/2022","118.480","118.340","119.280","117.980","103.86K","0.14%"
"09/21/2022","118.320","120.090","120.160","118.040","87.46K","-1.47%"
"09/20/2022","120.080","120.660","121.000","119.880","72.97K","-0.47%"
"09/19/2022","120.650","120.420","120.730","119.840","63.20K","0.14%"
